epoch,metrics/h_mean,metrics/p_exp,metrics/p_opt,metrics/train_loss,metrics/val_loss,step
0,,,,0.06949219107627869,,0
0,,,,0.08599609136581421,,1
0,,,,0.0869433581829071,,2
0,,,,0.0632031261920929,,3
0,,,,0.08038085699081421,,4
0,,,,0.08112304657697678,,5
0,,,,0.08338867127895355,,6
0,,,,0.08637695014476776,,7
0,0.40152716636657715,0.3504685163497925,0.4699999988079071,,0.09664062410593033,7
1,,,,0.0705273449420929,,8
1,,,,0.07483398169279099,,9
1,,,,0.08340820670127869,,10
1,,,,0.07489258050918579,,11
1,,,,0.07236327975988388,,12
1,,,,0.06132812425494194,,13
1,,,,0.0702832043170929,,14
1,,,,0.079833984375,,15
1,0.47699451446533203,0.3801673650741577,0.6399999856948853,,0.09006836265325546,15
2,,,,0.07209961116313934,,16
2,,,,0.07182617485523224,,17
2,,,,0.07241211086511612,,18
2,,,,0.0744921863079071,,19
2,,,,0.06687500327825546,,20
2,,,,0.07479491829872131,,21
2,,,,0.06796874850988388,,22
2,,,,0.07266601920127869,,23
2,0.46112480759620667,0.3706619143486023,0.6100000143051147,,0.09093750268220901,23
3,,,,0.06436523795127869,,24
3,,,,0.07175781577825546,,25
3,,,,0.06904296576976776,,26
3,,,,0.08234374970197678,,27
3,,,,0.07062499970197678,,28
3,,,,0.0713183581829071,,29
3,,,,0.061884764581918716,,30
3,,,,0.06069336086511612,,31
3,0.48651209473609924,0.3757111728191376,0.6899999976158142,,0.08924804627895355,31
4,,,,0.07102539390325546,,32
4,,,,0.07432617247104645,,33
4,,,,0.06452148407697678,,34
4,,,,0.06388671696186066,,35
4,,,,0.06684570014476776,,36
4,,,,0.07090820372104645,,37
4,,,,0.06170898303389549,,38
4,,,,0.06919921934604645,,39
4,0.47040438652038574,0.37896618247032166,0.6200000047683716,,0.08199218660593033,39
5,,,,0.0639941394329071,,40
5,,,,0.07382812350988388,,41
5,,,,0.06728515774011612,,42
5,,,,0.06549804657697678,,43
5,,,,0.0715039074420929,,44
5,,,,0.06537109613418579,,45
5,,,,0.06508789211511612,,46
5,,,,0.07065429538488388,,47
5,0.53774493932724,0.40498366951942444,0.800000011920929,,0.08006835728883743,47
6,,,,0.05717773362994194,,48
6,,,,0.0669238269329071,,49
6,,,,0.058808594942092896,,50
6,,,,0.06294921785593033,,51
6,,,,0.07257812470197678,,52
6,,,,0.0764453113079071,,53
6,,,,0.06816406548023224,,54
6,,,,0.06208984553813934,,55
6,0.5653620362281799,0.42353400588035583,0.8500000238418579,,0.08147460967302322,55
7,,,,0.06551757454872131,,56
7,,,,0.06535156071186066,,57
7,,,,0.05825195461511612,,58
7,,,,0.0661328136920929,,59
7,,,,0.07281249761581421,,60
7,,,,0.06642577797174454,,61
7,,,,0.06945312768220901,,62
7,,,,0.06531249731779099,,63
7,0.5858964323997498,0.4691484868526459,0.7799999713897705,,0.07773437350988388,63
8,,,,0.057792969048023224,,64
8,,,,0.06965820491313934,,65
8,,,,0.05454101413488388,,66
8,,,,0.07368163764476776,,67
8,,,,0.0673535168170929,,68
8,,,,0.06109375134110451,,69
8,,,,0.06757812201976776,,70
8,,,,0.06511718779802322,,71
8,0.5260311365127563,0.4111515283584595,0.7300000190734863,,0.07799804955720901,71
9,,,,0.056611329317092896,,72
9,,,,0.07161132991313934,,73
9,,,,0.06807617098093033,,74
9,,,,0.07166015356779099,,75
9,,,,0.06297851353883743,,76
9,,,,0.06677734106779099,,77
9,,,,0.057158201932907104,,78
9,,,,0.06214843690395355,,79
9,0.5614323019981384,0.45229098200798035,0.7400000095367432,,0.0739453136920929,79
10,,,,0.05961913987994194,,80
10,,,,0.06103515625,,81
10,,,,0.06678710877895355,,82
10,,,,0.06970702856779099,,83
10,,,,0.061787109822034836,,84
10,,,,0.07573242485523224,,85
10,,,,0.0737011730670929,,86
10,,,,0.06592773646116257,,87
10,0.5894206762313843,0.456966757774353,0.8299999833106995,,0.07315430045127869,87
11,,,,0.0676562488079071,,88
11,,,,0.06609375029802322,,89
11,,,,0.06324218958616257,,90
11,,,,0.06764648109674454,,91
11,,,,0.055439453572034836,,92
11,,,,0.07075195014476776,,93
11,,,,0.05972656235098839,,94
11,,,,0.0663769543170929,,95
11,0.577645480632782,0.46218621730804443,0.7699999809265137,,0.07182617485523224,95
12,,,,0.06810546666383743,,96
